年月日,平均気温(℃)
2023/12/31,9.6
2024/1/1,10
2024/1/2,6.6
2024/1/3,8.2
2024/1/4,10.3
2024/1/5,9.1
2024/1/6,10.9
2024/1/7,8.6
2024/1/8,6.2
2024/1/9,6.7
2024/1/10,8
2024/1/11,5.7
2024/1/12,8.3
2024/1/13,6.4
2024/1/14,7.4
2024/1/15,8.1
2024/1/16,5
2024/1/17,6.8
2024/1/18,9.7
2024/1/19,10.7
2024/1/20,6.8
2024/1/21,8.7
2024/1/22,11.1
2024/1/23,9.9
2024/1/24,5.2
2024/1/25,5.1
2024/1/26,6.2
2024/1/27,7.8
2024/1/28,6.9
2024/1/29,7.6
2024/1/30,8.3
2024/1/31,10.3
2024/2/1,10.4
2024/2/2,5.4
2024/2/3,7.3
2024/2/4,5.7
2024/2/5,3.4
2024/2/6,4.5
2024/2/7,5.8
2024/2/8,6.9
2024/2/9,7.4
2024/2/10,7.6
2024/2/11,7.9
2024/2/12,7.7
2024/2/13,9.9
2024/2/14,11.6
2024/2/15,15
2024/2/16,11.2
2024/2/17,9.3
2024/2/18,13.3
2024/2/19,15.5
2024/2/20,18.3
2024/2/21,9.3
2024/2/22,6.2
2024/2/23,3.5
2024/2/24,6.1
2024/2/25,4.7
2024/2/26,8.5
2024/2/27,7.8
2024/2/28,8.8
2024/2/29,8
2024/3/1,9.7
2024/3/2,6.9
2024/3/3,8
2024/3/4,10
2024/3/5,7
2024/3/6,6.2
2024/3/7,7.1
2024/3/8,5.2
2024/3/9,7
2024/3/10,7.2
2024/3/11,8.4
2024/3/12,8.6
2024/3/13,10.2
2024/3/14,10.5
2024/3/15,12.2
2024/3/16,14.5
2024/3/17,15.9
2024/3/18,10.1
2024/3/19,8.8
2024/3/20,10.5
2024/3/21,7
2024/3/22,7.5
2024/3/23,6.3
2024/3/24,9.7
2024/3/25,11.6
2024/3/26,9.7
2024/3/27,11.1
2024/3/28,11.4
2024/3/29,16.7
2024/3/30,17.9
2024/3/31,20.7
2024/4/1,14.4
